epoch;loss;mse_nonzero;r_score;val_loss;val_mse_nonzero;val_r_score
0;3373965.25;3373965.2;-2.8987172;3386093.25;3386093.25;-2.8960890769958496
1;3371748.75;3371748.8;-2.8961558;3383067.25;3383067.25;-2.8926074504852295
2;3368600.5;3368600.5;-2.892518;3379835.75;3379835.75;-2.8888890743255615
3;3365237.25;3365237.2;-2.8886316;3376530.75;3376530.75;-2.8850862979888916
4;3361777.0;3361777.0;-2.8846333;3373171.5;3373171.5;-2.881221294403076
5;3358242.0;3358242.0;-2.8805487;3369774.5;3369774.5;-2.877312660217285
6;3354638.5;3354638.5;-2.8763843;3366359.5;3366359.5;-2.8733835220336914
7;3350990.0;3350990.0;-2.8721683;3362932.25;3362932.25;-2.8694396018981934
8;3347303.0;3347303.0;-2.8679085;3359527.25;3359527.25;-2.8655223846435547
9;3343607.5;3343607.5;-2.8636374;3356105.5;3356105.5;-2.8615849018096924
10;3339858.5;3339858.5;-2.8593056;3352561.5;3352561.5;-2.8575069904327393
11;3335958.5;3335958.5;-2.8547993;3348944.75;3348944.75;-2.8533456325531006
12;3331938.25;3331938.2;-2.8501537;3345225.5;3345225.5;-2.8490662574768066
13;3327774.25;3327774.2;-2.8453422;3341352.5;3341352.5;-2.8446097373962402
